Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
LTR/Copia	Copia-20_GM-I	No_ref_available	1	1	0	153	0.00
LTR/Copia	Copia-20_GR-I	No_ref_available	8	5	0	12904	0.02
LTR/Copia	Copia-20_RC-I	No_ref_available	2	1	0	523	0.00
LTR/Copia	Copia-20_TC-LTR	1617	1	1	1	390	0.00
LTR/Copia	Copia-21_GR-I	4600	16	10	0	36152	0.06
LTR/Copia	Copia-21_TC-I	No_ref_available	1	1	0	51	0.00
LTR/Copia	Copia-22_ECa-I	No_ref_available	1	1	0	896	0.00
LTR/Copia	Copia-22_GR-I	No_ref_available	5	3	0	4822	0.01
LTR/Copia	Copia-23_ECa-I	No_ref_available	2	2	0	8322	0.01
LTR/Copia	Copia-23_GR-I	6484	189	83	15	118731	0.19
LTR/Copia	Copia-23_MN-I	No_ref_available	1	1	0	50	0.00
LTR/Copia	Copia-24_GR-I	1164	144	80	28	109722	0.17
LTR/Copia	Copia-24_PX-I	No_ref_available	2	1	0	4228	0.01
LTR/Copia	Copia-24_TC-I	No_ref_available	2	1	0	766	0.00
LTR/Copia	Copia-25_GR-I	4596	4	3	0	7090	0.01
LTR/Copia	Copia-25_JC-I	No_ref_available	3	1	0	570	0.00
LTR/Copia	Copia-25_RC-I	No_ref_available	8	3	0	5134	0.01
LTR/Copia	Copia-25_TC-I	No_ref_available	1	1	0	112	0.00
LTR/Copia	Copia-26_GR-I	4580	5	3	0	10418	0.02
LTR/Copia	Copia-26_MN-I	No_ref_available	1	1	0	1163	0.00
LTR/Copia	Copia-27_ECa-I	No_ref_available	9	6	0	11161	0.02
LTR/Copia	Copia-27_GR-I	472	36	17	2	35482	0.06
LTR/Copia	Copia-28_GR-I	No_ref_available	6	5	0	11661	0.02
LTR/Copia	Copia-29_AIp-I	No_ref_available	1	1	0	1707	0.00
LTR/Copia	Copia-29_GR-I	4628	15	8	0	29717	0.05
LTR/Copia	Copia-29_JC-I	No_ref_available	1	1	0	639	0.00
LTR/Copia	Copia-29_MN-I	No_ref_available	3	1	0	3165	0.00
LTR/Copia	Copia-29_TC-I	No_ref_available	1	1	0	88	0.00
LTR/Copia	Copia-2_GR-I	No_ref_available	4	3	0	7783	0.01
LTR/Copia	Copia-30_ATr-I	No_ref_available	5	5	0	2265	0.00
LTR/Copia	Copia-30_GR-I	No_ref_available	17	10	0	20472	0.03
LTR/Copia	Copia-30_TC-I	No_ref_available	6	3	0	6345	0.01
LTR/Copia	Copia-31_GM-I	No_ref_available	2	1	0	314	0.00
LTR/Copia	Copia-31_GR-I	4653	1	1	0	4037	0.01
LTR/Copia	Copia-31_JC-I	No_ref_available	1	1	0	91	0.00
LTR/Copia	Copia-31_MN-I	No_ref_available	1	1	0	603	0.00
LTR/Copia	Copia-32_GR-I	5011	5	2	0	8433	0.01
LTR/Copia	Copia-33_GR-I	569	61	23	4	76339	0.12
LTR/Copia	Copia-34_GR-I	4944	7	7	0	24281	0.04
LTR/Copia	Copia-34_RC-I	No_ref_available	4	4	0	143	0.00
LTR/Copia	Copia-35_GR-I	5362	12	9	0	17709	0.03
LTR/Copia	Copia-35_JC-I	No_ref_available	5	5	0	347	0.00
LTR/Copia	Copia-36_GR-I	5053	16	11	0	39183	0.06
LTR/Copia	Copia-36_Sit-I	No_ref_available	1	1	0	80	0.00
LTR/Copia	Copia-37_GR-I	4782	11	5	0	17271	0.03
LTR/Copia	Copia-37_JC-I	No_ref_available	2	2	0	908	0.00
LTR/Copia	Copia-37_VV-I	No_ref_available	2	2	0	2985	0.00
LTR/Copia	Copia-38_RC-I	No_ref_available	1	1	0	47	0.00
LTR/Copia	Copia-39_ECa-I	No_ref_available	2	2	0	1662	0.00
LTR/Copia	Copia-39_GR-I	4893	36	18	0	26134	0.04
LTR/Copia	Copia-39_MN-I	No_ref_available	3	2	0	3768	0.01
LTR/Copia	Copia-39_RC-I	No_ref_available	2	1	0	3936	0.01
LTR/Copia	Copia-3_CP-I	No_ref_available	1	1	0	247	0.00
LTR/Copia	Copia-3_GR-I	No_ref_available	1	1	0	4764	0.01
LTR/Copia	Copia-3_SL-I	No_ref_available	1	1	0	84	0.00
LTR/Copia	Copia-40_GR-I	488	9	5	3	10598	0.02
LTR/Copia	Copia-41_GR-I	501	80	55	19	129578	0.20
LTR/Copia	Copia-42_GR-I	522	23	18	4	51503	0.08
LTR/Copia	Copia-42_VV-I	No_ref_available	1	1	0	139	0.00
LTR/Copia	Copia-43_ECa-I	No_ref_available	2	1	0	1074	0.00
LTR/Copia	Copia-43_GR-I	No_ref_available	6	5	0	15881	0.02
LTR/Copia	Copia-43_Pru-I	No_ref_available	1	1	0	487	0.00
LTR/Copia	Copia-44_GR-I	5274	5	2	0	4545	0.01
LTR/Copia	Copia-44_RC-I	No_ref_available	2	1	0	1145	0.00
LTR/Copia	Copia-45_ALY-I	No_ref_available	1	1	0	300	0.00
LTR/Copia	Copia-45_GR-I	5324	45	20	1	50414	0.08
LTR/Copia	Copia-45_JC-I	No_ref_available	5	1	0	883	0.00
LTR/Copia	Copia-46_GR-I	4884	7	6	0	21308	0.03
LTR/Copia	Copia-46_RC-I	No_ref_available	11	4	0	4583	0.01
LTR/Copia	Copia-47_GM-I	No_ref_available	2	2	0	185	0.00
LTR/Copia	Copia-47_GR-I	5076	239	127	5	175402	0.27
LTR/Copia	Copia-47_MN-I	No_ref_available	15	9	0	17362	0.03
LTR/Copia	Copia-48_JC-I	No_ref_available	3	3	0	241	0.00
LTR/Copia	Copia-49_ALY-I	No_ref_available	3	1	0	1175	0.00
LTR/Copia	Copia-49_MN-I	No_ref_available	3	2	0	1270	0.00
LTR/Copia	Copia-4_GR-I	5217	2	2	0	4671	0.01
LTR/Copia	Copia-4_JC-I	No_ref_available	5	3	0	9904	0.02
LTR/Copia	Copia-4_NN-I	No_ref_available	3	2	0	467	0.00
LTR/Copia	Copia-4_PD-I	No_ref_available	2	1	0	3259	0.01
LTR/Copia	Copia-50_BD-I	No_ref_available	2	2	0	1566	0.00
LTR/Copia	Copia-50_GR-I	No_ref_available	2	1	0	4159	0.01
LTR/Copia	Copia-50_JC-I	No_ref_available	6	5	0	12644	0.02
LTR/Copia	Copia-51_GR-I	No_ref_available	3	3	0	8353	0.01
LTR/Copia	Copia-52_GR-I	5257	10	5	0	19067	0.03
LTR/Copia	Copia-52_VV-I	No_ref_available	1	1	0	1035	0.00
LTR/Copia	Copia-53_BD-I	No_ref_available	2	1	0	663	0.00
LTR/Copia	Copia-53_GR-I	1899	1144	686	477	787905	1.23
LTR/Copia	Copia-53_JC-I	No_ref_available	1	1	0	90	0.00
